Player,Tm,2023-24
Jose Alvarado,NOP,"$1,836,096"
Jason Preston,LAC,"$1,836,096"
JT Thor,CHO,"$1,836,096"
Jack White,OKC,"$1,801,769"
E.J. Liddell,NOP,"$1,801,769"
Orlando Robinson,MIA,"$1,801,769"
Kennedy Chandler,MEM,"$1,719,864"
Jaden Hardy,DAL,"$1,719,864"
Xavier Cooks,WAS,"$1,719,864"
Ryan Rollins,WAS,"$1,719,864"
Christian Koloko,TOR,"$1,719,864"
Josh Minott,MIN,"$1,719,864"
Kenneth Lofton Jr.,MEM,"$1,719,864"
Max Christie,LAL,"$1,719,864"
Bryce McGowens,CHO,"$1,719,864"
Jabari Walker,POR,"$1,719,864"
Julian Phillips,CHI,"$1,600,000"
Eric Bledsoe,POR,"$1,300,000"
Jordan Walsh,BOS,"$1,119,563"
Rayan Rupert,POR,"$1,119,563"
Mouhamed Gueye,ATL,"$1,119,563"
Nik Stauskas,IND,"$702,311"
Juwan Morgan,IND,"$576,230"
Malik Fitts,IND,"$555,217"
Lamar Stevens,SAS,"$400,000"
Nerlens Noel,SAC,"$300,000"
Didi Louzada,POR,"$268,032"
Neemias Queta,SAC,"$250,000"
Demetrius Jackson,BOS,"$92,857"
