Player,Tm,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Nick Richards,CHO,18.3,.676,.003,.585,12.6,24.0,18.2,4.5,0.4,5.1,13.0,15.6,2.7,1.5,4.2,.165,-1.0,-0.2,-1.3,0.2
Josh Richardson,TOT,12.3,.555,.529,.146,2.9,9.9,6.3,15.8,2.2,1.2,12.7,18.4,0.6,1.1,1.8,.055,-1.0,-0.1,-1.2,0.3
Austin Rivers,MIN,7.4,.564,.589,.187,0.6,8.4,4.6,9.3,1.3,0.3,9.2,10.5,0.5,0.8,1.3,.061,-3.3,0.5,-2.8,-0.2
Duncan Robinson,MIA,7.8,.534,.810,.135,1.3,10.7,5.9,9.7,1.0,0.0,10.0,17.9,-0.1,0.6,0.5,.035,-3.5,-1.5,-5.0,-0.5
Mitchell Robinson,NYK,18.9,.652,.000,.436,18.4,20.0,19.2,4.5,1.7,6.5,10.9,10.1,4.0,2.6,6.5,.197,1.0,1.4,2.4,1.7
Orlando Robinson,MIA,13.4,.565,.067,.348,12.8,22.3,17.4,8.4,1.4,2.9,13.5,12.4,0.5,0.6,1.1,.129,-2.7,0.7,-2.1,0.0
Jeremiah Robinson-Earl,OKC,13.0,.548,.448,.169,9.2,14.7,11.9,7.0,1.4,1.2,6.7,14.6,1.1,0.8,1.9,.111,-0.8,-0.7,-1.5,0.1
Isaiah Roby,SAS,9.3,.497,.387,.265,4.7,20.6,12.3,10.7,1.8,1.2,15.2,17.8,-0.4,0.3,-0.1,-0.011,-4.0,-0.6,-4.6,-0.3
David Roddy,MEM,8.8,.519,.505,.155,4.2,12.0,8.1,6.1,1.1,1.4,11.3,16.7,-0.3,1.4,1.1,.043,-3.2,-0.7,-3.9,-0.6
Ryan Rollins,GSW,-1.4,.508,.450,.300,5.4,15.7,10.6,12.4,0.8,1.4,41.4,26.1,-0.3,0.1,-0.3,-0.218,-11.3,-3.7,-15.0,-0.2
Derrick Rose,NYK,10.1,.463,.396,.075,2.6,10.4,6.5,19.9,1.0,1.4,11.8,23.6,-0.3,0.3,0.0,-0.001,-2.2,-1.5,-3.7,-0.1
Terrence Ross,TOT,10.2,.544,.555,.073,1.8,11.2,6.5,10.2,1.3,0.7,8.2,16.8,0.5,1.2,1.6,.059,-1.8,-0.3,-2.1,0.0
Terry Rozier,CHO,14.7,.517,.425,.185,2.4,10.2,6.2,22.7,1.6,0.6,9.4,26.9,0.1,1.6,1.7,.037,0.6,-1.1,-0.6,0.8
Ricky Rubio,CLE,10.4,.442,.461,.197,1.9,12.7,7.3,27.1,2.3,1.0,13.8,17.7,-0.2,0.9,0.7,.062,-3.8,1.1,-2.8,-0.1
D'Angelo Russell,TOT,16.3,.605,.517,.228,1.7,8.5,5.2,27.4,1.4,1.1,15.1,22.7,3.1,1.9,5.1,.106,2.1,-0.7,1.5,2.0
Matt Ryan,TOT,8.1,.538,.778,.111,1.4,7.6,4.6,6.9,0.8,0.3,5.8,16.5,0.1,0.2,0.3,.044,-1.9,-1.5,-3.4,-0.1
Domantas Sabonis,SAC,23.5,.668,.088,.467,10.6,30.0,20.3,30.4,1.1,1.2,16.9,21.3,9.6,3.0,12.6,.221,4.1,1.8,5.8,5.4
Luka Šamanić,UTA,11.0,.550,.544,.228,0.0,19.9,10.1,13.0,1.8,1.1,13.8,18.9,0.0,0.2,0.2,.045,-3.2,1.1,-2.1,0.0
Dario Šarić,TOT,13.5,.583,.415,.274,7.1,21.4,14.1,12.7,1.2,0.8,15.1,19.2,0.7,1.0,1.7,.099,-1.5,0.1,-1.4,0.1
Olivier Sarr,OKC,11.5,.544,.267,.233,11.1,18.2,14.6,4.6,0.4,4.1,10.8,13.6,0.1,0.1,0.2,.094,-4.2,-0.7,-4.9,-0.1
Jordan Schakel,WAS,24.3,.750,.500,.000,0.0,0.0,0.0,23.5,8.1,0.0,0.0,14.5,0.0,0.0,0.0,.314,7.7,9.3,17.0,0.0
Admiral Schofield,ORL,10.1,.587,.607,.189,5.8,9.8,7.8,9.6,0.9,1.1,10.8,14.1,0.5,0.3,0.8,.089,-2.2,-0.7,-2.9,-0.1
Dennis Schröder,LAL,11.5,.545,.346,.388,1.2,7.5,4.4,20.1,1.2,0.4,12.8,18.6,1.3,1.5,2.8,.068,-2.4,-0.5,-2.9,-0.4
Jay Scrubb,ORL,14.2,.825,.286,.286,0.0,22.7,11.3,5.0,3.2,0.0,27.6,15.6,0.0,0.0,0.1,.083,-2.9,1.0,-1.9,0.0
Dereon Seabron,NOP,4.6,.400,.000,.000,9.5,0.0,4.7,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,-0.034,-6.6,-4.7,-11.3,0.0
Alperen Şengün,HOU,19.7,.599,.071,.360,12.1,22.3,17.1,21.0,1.6,3.2,17.3,21.4,3.4,1.8,5.2,.115,1.1,0.4,1.4,1.9
Collin Sexton,UTA,15.9,.616,.261,.425,3.5,6.3,5.0,17.9,1.1,0.4,13.3,23.4,2.0,0.5,2.5,.105,0.1,-1.5,-1.3,0.2
Landry Shamet,PHO,10.9,.537,.663,.170,1.5,7.9,4.6,15.7,1.6,0.6,10.0,18.9,0.5,0.7,1.2,.071,-1.1,-0.3,-1.4,0.1
Day'Ron Sharpe,BRK,17.8,.581,.064,.322,20.6,20.1,20.4,9.7,1.3,5.0,17.7,19.0,0.8,0.8,1.6,.139,-1.8,-0.6,-2.3,0.0
Shaedon Sharpe,POR,11.5,.568,.437,.162,4.0,11.3,7.6,7.9,1.0,1.2,10.7,19.0,0.6,0.6,1.2,.032,-1.3,-2.0,-3.3,-0.6
Pascal Siakam,TOR,20.3,.565,.219,.361,5.2,19.6,11.9,24.9,1.2,1.3,10.0,27.2,5.2,2.6,7.8,.141,3.3,-0.1,3.1,3.4
Chris Silva,DAL,-2.2,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.1,0.0,0.0,0.0,-0.260,-22.5,-0.1,-22.6,0.0
Ben Simmons,BRK,13.4,.559,.009,.243,4.2,22.2,13.4,31.3,2.4,1.9,27.2,14.3,0.5,1.7,2.2,.097,-2.2,2.6,0.4,0.7
Kobi Simmons,CHO,9.0,.363,.833,.333,3.7,11.7,7.6,21.8,0.0,6.2,12.7,11.8,0.0,0.0,0.0,.019,-1.0,0.1,-0.9,0.0
Marko Simonovic,CHI,-0.1,.381,.571,.286,5.8,5.6,5.7,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,-0.052,-10.5,-3.8,-14.4,-0.1
Anfernee Simons,POR,14.8,.581,.538,.171,0.9,7.6,4.3,18.6,0.9,0.6,10.2,25.1,2.1,0.3,2.5,.054,1.3,-2.5,-1.1,0.5
Jericho Sims,NYK,13.8,.780,.009,.150,13.3,19.4,16.4,4.0,0.9,3.2,19.1,7.4,1.6,0.9,2.6,.153,-1.0,0.5,-0.5,0.3
Marcus Smart,BOS,12.1,.538,.568,.196,2.6,8.0,5.3,26.4,2.3,1.0,17.9,17.8,1.0,2.7,3.7,.092,-1.8,0.8,-1.0,0.5
Dennis Smith Jr.,CHO,11.6,.475,.246,.235,2.0,11.0,6.4,26.1,2.6,1.6,14.1,17.6,-0.4,1.5,1.1,.039,-3.5,1.2,-2.2,-0.1
Dru Smith,TOT,11.4,.475,.422,.067,1.4,15.9,8.7,19.3,3.1,2.5,6.1,13.8,0.1,0.3,0.3,.099,-3.8,2.9,-0.9,0.0
Ish Smith,DEN,6.5,.407,.092,.031,1.5,13.8,7.8,32.5,1.0,1.6,24.9,19.3,-0.8,0.4,-0.5,-0.056,-5.5,-1.1,-6.6,-0.5
Jabari Smith Jr.,HOU,11.2,.514,.438,.231,5.4,20.3,12.7,5.9,0.9,3.0,9.6,18.4,0.5,1.4,1.9,.037,-2.3,-1.3,-3.7,-1.1
Jalen Smith,IND,15.9,.565,.376,.270,11.2,22.9,17.1,7.6,0.8,4.0,11.2,21.0,1.1,1.1,2.3,.085,-0.9,-1.1,-2.1,0.0
Xavier Sneed,CHO,9.5,.723,.600,.400,0.0,11.3,5.6,13.9,0.0,1.8,20.3,12.9,0.1,0.0,0.1,.086,-3.1,-0.4,-3.6,0.0
Jeremy Sochan,SAS,11.4,.509,.243,.210,6.9,15.6,11.0,13.6,1.4,1.3,13.9,19.8,-0.5,0.7,0.2,.005,-2.8,-1.2,-4.0,-0.7
Jaden Springer,PHI,17.2,.545,.143,.229,8.1,10.4,9.3,13.8,3.9,3.1,7.2,20.8,0.1,0.2,0.3,.145,-2.6,2.9,0.3,0.1
Lamar Stevens,CLE,9.5,.524,.330,.198,5.0,16.7,10.9,4.0,1.2,1.6,7.9,13.6,0.3,1.6,1.9,.080,-3.0,0.2,-2.8,-0.2
Isaiah Stewart,DET,13.1,.560,.465,.338,8.7,23.3,15.8,7.3,0.7,2.1,11.8,17.3,1.1,0.9,2.0,.068,-1.0,-1.1,-2.1,0.0
Max Strus,MIA,10.8,.557,.713,.113,2.4,11.2,6.7,11.2,0.9,0.5,7.8,17.6,1.5,1.9,3.4,.071,-0.8,-0.9,-1.7,0.2
Jalen Suggs,ORL,12.5,.528,.455,.268,5.0,9.6,7.3,18.0,2.6,2.1,15.9,20.3,-0.2,1.5,1.4,.053,-1.8,0.8,-1.0,0.3
Edmond Sumner,BRK,14.0,.597,.323,.401,2.0,9.9,6.0,13.3,2.1,1.2,13.6,22.1,0.6,0.7,1.3,.086,-2.4,-0.2,-2.6,-0.1
Cole Swider,LAL,7.4,.500,.889,.000,2.7,15.2,9.1,12.0,0.0,0.0,0.0,9.3,0.0,0.0,0.1,.080,-2.9,-0.5,-3.4,0.0
